,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
218,211.0,Palau,4610,,6.0,,3984.0,,620.0,1.0,252575.0,329.0,46016.0,2521148.0,18252.0,Australia/Oceania,4.0,3042.0,0.0,,,33969.0
219,212.0,St. Barth,4544,,6.0,,,,,,457511.0,604.0,78646.0,7918445.0,9932.0,North America,2.0,1655.0,0.0,,,410391.0
220,213.0,Kiribati,3084,,13.0,,2601.0,,470.0,3.0,25114.0,106.0,,,122802.0,Australia/Oceania,40.0,9446.0,,,,3827.0
221,214.0,Anguilla,2788,,9.0,,2766.0,,13.0,4.0,182844.0,590.0,51382.0,3369753.0,15248.0,North America,5.0,1694.0,0.0,,,853.0
222,215.0,Saint Pierre Miquelon,2701,,1.0,,2449.0,,251.0,1.0,470394.0,174.0,23446.0,4083246.0,5742.0,North America,2.0,5742.0,0.0,,,43713.0
223,216.0,Diamond Princess,712,,13.0,,699.0,,0.0,,,,,,,,,,,,,
224,217.0,Wallis and Futuna,454,,7.0,,438.0,,9.0,,41732.0,643.0,20508.0,1885100.0,10879.0,Australia/Oceania,24.0,1554.0,1.0,,,827.0
225,218.0,Montserrat,273,,2.0,,181.0,,90.0,,54622.0,400.0,10135.0,2027811.0,4998.0,North America,18.0,2499.0,0.0,,,18007.0
226,219.0,Falkland Islands,128,,,,,,,,34925.0,,8632.0,2355252.0,3665.0,South America,29.0,,0.0,,,1091.0
227,220.0,Macao,82,,,,82.0,,0.0,,123.0,,5375.0,8076.0,665529.0,Asia,8116.0,,124.0,,,
228,221.0,Vatican City,29,,,,29.0,,0.0,,36025.0,,,,805.0,Europe,28.0,,,,,
229,222.0,Marshall Islands,17,,,,14.0,,3.0,,284.0,,,,59921.0,Australia/Oceania,3525.0,,,,,50.0
230,223.0,Western Sahara,10,,1.0,,9.0,,0.0,,16.0,2.0,,,624198.0,Africa,62420.0,624198.0,,,,
231,224.0,MS Zaandam,9,,2.0,,7.0,,0.0,,,,,,,,,,,,,
232,225.0,Niue,9,,,,7.0,,2.0,,5468.0,,,,1646.0,Australia/Oceania,183.0,,,,,1215.0
233,226.0,Micronesia,7,,,,1.0,,6.0,,60.0,,,,117229.0,Australia/Oceania,16747.0,,,,,51.0
234,227.0,Nauru,5,,,,3.0,,2.0,,457.0,,,,10949.0,Australia/Oceania,2190.0,,,,,183.0
235,228.0,Saint Helena,2,,,,2.0,,0.0,,327.0,,,,6110.0,Africa,3055.0,,,,,
236,,Total:,148121812,88445.0,1424601.0,309.0,126147107.0,84741.0,20550104.0,12658.0,,,,,,Asia,,,,,,
237,,Total:,98442482,47786.0,1460270.0,206.0,94250741.0,42757.0,2731471.0,7105.0,,,,,,North America,,,,,,
238,,Total:,56831938,8047.0,1294737.0,92.0,52975058.0,26740.0,2562143.0,10770.0,,,,,,South America,,,,,,
239,,Total:,191305292,69607.0,1818921.0,649.0,177029046.0,501568.0,12457325.0,9213.0,,,,,,Europe,,,,,,
240,,Total:,7233616,38025.0,10640.0,19.0,6757056.0,6035.0,465920.0,172.0,,,,,,Australia/Oceania,,,,,,
241,,Total:,11909353,2830.0,253803.0,8.0,11107090.0,2064.0,548460.0,970.0,,,,,,Africa,,,,,,
242,,Total:,721,,15.0,,706.0,,0.0,0.0,,,,,,,,,,,,
243,,Total:,513845214,254740.0,6262987.0,1283.0,468266804.0,663905.0,39315423.0,40888.0,65921.5,803.5,,,,All,,,,,,
